ID	LABEL	alternative term	IEDB alternative term	has cross-reference	logical type	parent	textual definition	logical annotation goal	derives from organism	derives from cell	derives from tissue	having disease	unified axiom
ICF:0000166	G-401 cell	G-401|G401| G 401	G-401 cell	RRID:CVCL_0270|CLO:0003434	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the kidney of subjects with rhabdoid cancer.	'derives from' some ('epithelial cell' and ('part of' some ('kidney' and ('part of' some ('Homo sapiens' and ('has disease' some 'rhabdoid cancer'))))))	Homo sapiens	epithelial cell	kidney	rhabdoid cancer	'derives from' some ('epithelial cell' and ('part of' some ('kidney' and ('part of' some ('Homo sapiens' and ('has disease' some 'rhabdoid cancer'))))))
ICF:0000167	A-431 cell	A-431|A431|A431/P	A-431 cell	RRID:CVCL_0037|CLO:0001592	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the skin of body of subjects with skin squamous cell carcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('skin of body' and ('part of' some ('Homo sapiens' and ('has disease' some 'skin squamous cell carcinoma'))))))	Homo sapiens	epithelial cell	skin of body	skin squamous cell carcinoma	'derives from' some ('epithelial cell' and ('part of' some ('skin of body' and ('part of' some ('Homo sapiens' and ('has disease' some 'skin squamous cell carcinoma'))))))
ICF:0000168	NCI-N87 cell	NCI N87| N87| N-87| NCI-H87| H87| H-87| NCIN87|NCI-N87	NCI-N87 cell	RRID:CVCL_1603|CLO:0008129	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the liver of subjects with stomach carcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('liver' and ('part of' some ('Homo sapiens' and ('has disease' some 'stomach carcinoma'))))))	Homo sapiens	epithelial cell	liver	stomach carcinoma	'derives from' some ('epithelial cell' and ('part of' some ('liver' and ('part of' some ('Homo sapiens' and ('has disease' some 'stomach carcinoma'))))))
ICF:0000169	RCB1902 cell	HSC-4|RCB1902|HSC4	HSC-4 cell 	RRID:CVCL_1289|CLO:0051567	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the lymph node of subjects with tongue squamous cell carcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('lymph node' and ('part of' some ('Homo sapiens' and ('has disease' some 'tongue squamous cell carcinoma'))))))	Homo sapiens	epithelial cell	lymph node	tongue squamous cell carcinoma	'derives from' some ('epithelial cell' and ('part of' some ('lymph node' and ('part of' some ('Homo sapiens' and ('has disease' some 'tongue squamous cell carcinoma'))))))
ICF:0000170	RCB1974 cell	RCB1974|SAS	SAS cell	RRID:CVCL_1675|CLO:0051568	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the tongue of subjects with tongue squamous cell carcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('tongue' and ('part of' some ('Homo sapiens' and ('has disease' some 'tongue squamous cell carcinoma'))))))	Homo sapiens	epithelial cell	tongue	tongue squamous cell carcinoma	'derives from' some ('epithelial cell' and ('part of' some ('tongue' and ('part of' some ('Homo sapiens' and ('has disease' some 'tongue squamous cell carcinoma'))))))
ICF:0000171	RCB1975 cell	HSC 3| HSC3|HSC-3|RCB1975	HSC-3 cell	RRID:CVCL_1288|CLO:0051569	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the lymph node of subjects with tongue squamous cell carcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('lymph node' and ('part of' some ('Homo sapiens' and ('has disease' some 'tongue squamous cell carcinoma'))))))	Homo sapiens	epithelial cell	lymph node	tongue squamous cell carcinoma	'derives from' some ('epithelial cell' and ('part of' some ('lymph node' and ('part of' some ('Homo sapiens' and ('has disease' some 'tongue squamous cell carcinoma'))))))
ICF:0000172	184A1 cell	184 A1|H184A1|184A1	184A1 cell	RRID: CVCL_3040|CLO:0001137	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the breast.	'derives from' some ('epithelial cell' and ('part of' some ('breast' and ('part of' some ('Homo sapiens')))))	Homo sapiens	epithelial cell	breast		'derives from' some ('epithelial cell' and ('part of' some ('breast' and ('part of' some 'Homo sapiens'))))
ICF:0000173	4MBr-5 cell	4MBr-5|4MBR-5	4MBr-5 cell	RRID:CVCL_4492|CLO:0001400	subclass	immortal Rhesus macaque epithelial cell line cell	An immortal Rhesus macaque epithelial cell line cell originating from the lung.	'derives from' some ('epithelial cell' and ('part of' some ('lung' and ('part of' some ('Rhesus macaque')))))	Macaca mulatta	epithelial cell	lung		'derives from' some ('epithelial cell' and ('part of' some ('lung' and ('part of' some 'Macaca mulatta'))))
ICF:0000174	HEK293	293|293 HEK|293 cell|HEK 293|HEK-293|Human Embryonic Kidney 293	HEK293 cell	RRID:CVCL_0045|CLO:0001230	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the kidney.	'derives from' some ('epithelial cell' and ('part of' some ('kidney' and ('part of' some ('Homo sapiens')))))	Homo sapiens	epithelial cell	kidney		'derives from' some ('epithelial cell' and ('part of' some ('kidney' and ('part of' some 'Homo sapiens'))))
ICF:0000175	MCF12A cell	MCF12A| Michigan Cancer Foundation-12A|MCF-12A	MCF12A cell	RRID:CVCL_3744|CLO:0037180	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the breast.	'derives from' some ('epithelial cell' and ('part of' some ('breast' and ('part of' some ('Homo sapiens')))))	Homo sapiens	epithelial cell	breast		'derives from' some ('epithelial cell' and ('part of' some ('breast' and ('part of' some 'Homo sapiens'))))
