ID	LABEL	alternative term	IEDB alternative term	has cross-reference	logical type	parent	textual definition	logical annotation goal	derives from organism	derives from cell	derives from tissue	having disease	unified axiom
ICF:0000208	immortal mouse melanocyte cell line cell				equivalent	immortal melanocyte cell line cell	An immortal melanocyte cell line cell derived from a mouse.		Mus musculus				'derives from' some ('cell' and ('part of' some 'Mus musculus'))
ICF:0000209	1205Lu cell	1205-Lu| 1205 Lu| WM 1205LU| WM-1205LU| WM1205Lu| WM1205| LU1205| Lu1205| WC00058|1205Lu	1205Lu cell	RRID:CVCL_5239|CLO:0001056	subclass	immortal human melanocyte cell line cell	An immortal human melanocyte cell line cell originating from the skin of body of subjects with melanoma.	'derives from' some ('melanocyte' and ('part of' some ('skin of body' and ('part of' some ('Homo sapiens' and ('has disease' some 'melanoma'))))))	Homo sapiens	melanocyte	skin of body	melanoma	'derives from' some ('melanocyte' and ('part of' some ('skin of body' and ('part of' some ('Homo sapiens' and ('has disease' some 'melanoma'))))))
ICF:0000210	A2058 cell	A 2058| A-2058|A2058	A2058 cell	RRID:CVCL_1059|CLO:0001566	subclass	immortal human melanocyte cell line cell	An immortal human melanocyte cell line cell originating from the lymph node of subjects with amelanotic melanoma.	'derives from' some ('melanocyte' and ('part of' some ('lymph node' and ('part of' some ('Homo sapiens' and ('has disease' some 'amelanotic melanoma'))))))	Homo sapiens	melanocyte	lymph node	amelanotic melanoma	'derives from' some ('melanocyte' and ('part of' some ('lymph node' and ('part of' some ('Homo sapiens' and ('has disease' some 'amelanotic melanoma'))))))
ICF:0000211	A-375 cell	A 375| A375-MEL| A375-mel| A375mel| 375|A-375|A375|A375 cell	A-375 cell	RRID:CVCL_0132|CLO:0001582	subclass	immortal human melanocyte cell line cell	An immortal human melanocyte cell line cell originating from the skin of body of subjects with amelanotic melanoma.	'derives from' some ('melanocyte' and ('part of' some ('skin of body' and ('part of' some ('Homo sapiens' and ('has disease' some 'amelanotic melanoma'))))))	Homo sapiens	melanocyte	skin of body	amelanotic melanoma	'derives from' some ('melanocyte' and ('part of' some ('skin of body' and ('part of' some ('Homo sapiens' and ('has disease' some 'amelanotic melanoma'))))))
ICF:0000212	RCB1283 cell	B-16| B16 subline B78| B78|B16 melanoma|RCB1283	B16 cell	RRID:CVCL_F936|CLO:0050752	subclass	immortal mouse melanocyte cell line cell	An immortal mouse melanocyte cell line cell originating from the skin of body of subjects with melanoma.	'derives from' some ('melanocyte' and ('part of' some ('skin of body' and ('part of' some ('Mus musculus' and ('has disease' some 'melanoma'))))))	Mus musculus	melanocyte	skin of body	melanoma	'derives from' some ('melanocyte' and ('part of' some ('skin of body' and ('part of' some ('Mus musculus' and ('has disease' some 'melanoma'))))))
ICF:0000213	B16-F1 cell	B16/F1| B16 F1| B16F1|B16-F1	B16-F1 cell	RRID:CVCL_0158|CLO:0001793	subclass	immortal mouse melanocyte cell line cell	An immortal mouse melanocyte cell line cell originating from the skin of body of subjects with melanoma.	'derives from' some ('melanocyte' and ('part of' some ('skin of body' and ('part of' some ('Mus musculus' and ('has disease' some 'melanoma'))))))	Mus musculus	melanocyte	skin of body	melanoma	'derives from' some ('melanocyte' and ('part of' some ('skin of body' and ('part of' some ('Mus musculus' and ('has disease' some 'melanoma'))))))
ICF:0000214	B16-F10 cell	B16/F10| B16 F10| B16F10| B16 melanoma F10|B16-F10	B16-F10 cell	RRID:CVCL_0159|CLO:0001794	subclass	immortal mouse melanocyte cell line cell	An immortal mouse melanocyte cell line cell originating from the skin of body of subjects with melanoma.	'derives from' some ('melanocyte' and ('part of' some ('skin of body' and ('part of' some ('Mus musculus' and ('has disease' some 'melanoma'))))))	Mus musculus	melanocyte	skin of body	melanoma	'derives from' some ('melanocyte' and ('part of' some ('skin of body' and ('part of' some ('Mus musculus' and ('has disease' some 'melanoma'))))))
ICF:0000215	G-361 cell	G361| G361-mel| G361mel|G-361	G-361 cell	RRID:CVCL_1220|CLO:0003433	subclass	immortal human melanocyte cell line cell	An immortal human melanocyte cell line cell originating from the skin of body of subjects with melanoma.	'derives from' some ('melanocyte' and ('part of' some ('skin of body' and ('part of' some ('Homo sapiens' and ('has disease' some 'melanoma'))))))	Homo sapiens	melanocyte	skin of body	melanoma	'derives from' some ('melanocyte' and ('part of' some ('skin of body' and ('part of' some ('Homo sapiens' and ('has disease' some 'melanoma'))))))
ICF:0000216	IPC-298 cell	IPC 298| IPC298|IPC-298	IPC-298 cell	RRID:CVCL_1307|CLO:0006961	subclass	immortal human melanocyte cell line cell	An immortal human melanocyte cell line cell originating from the skin of body of subjects with melanoma.	'derives from' some ('melanocyte' and ('part of' some ('skin of body' and ('part of' some ('Homo sapiens' and ('has disease' some 'melanoma'))))))	Homo sapiens	melanocyte	skin of body	melanoma	'derives from' some ('melanocyte' and ('part of' some ('skin of body' and ('part of' some ('Homo sapiens' and ('has disease' some 'melanoma'))))))
ICF:0000217	MZ2-MEL cell	Mz-Mel-2| MZ Mel 2| MZ-2 Mel| MZ2-Mel| MZ2-mel| MZ2MEL|MZ2-MEL	MZ2-MEL-2 cell	RRID:CVCL_1435|CLO:0037132	subclass	immortal human melanocyte cell line cell	An immortal human melanocyte cell line cell originating from the abdomen of subjects with melanoma.	'derives from' some ('melanocyte' and ('part of' some ('abdomen' and ('part of' some ('Homo sapiens' and ('has disease' some 'melanoma'))))))	Homo sapiens	melanocyte	abdomen element	melanoma	'derives from' some ('melanocyte' and ('part of' some ('abdomen element' and ('part of' some ('Homo sapiens' and ('has disease' some 'melanoma'))))))
ICF:0000218	SK-MEL-2 cell	SK-Mel-2| SK-Mel 2| SK-mel-2| SK-MEL2| SK.MEL.2| SK Mel 2| SK MEL 2| SKMEL-2| SKMEL2| SKmel2| SK-ML2| SKml2|SK-MEL-2	SK-MEL-2 cell	RRID:CVCL_0069|CLO:0009041	subclass	immortal human melanocyte cell line cell	An immortal human melanocyte cell line cell originating from the skin of body of subjects with melanoma.	'derives from' some ('melanocyte' and ('part of' some ('skin of body' and ('part of' some ('Homo sapiens' and ('has disease' some 'melanoma'))))))	Homo sapiens	melanocyte	skin of body	melanoma	'derives from' some ('melanocyte' and ('part of' some ('skin of body' and ('part of' some ('Homo sapiens' and ('has disease' some 'melanoma'))))))
ICF:0000219	SK-MEL-28 cell	AU-Mel|P-36|P36|SK MEL 28|SK Mel 28|SK-MEL 28|SK-MEL28|SK-Mel28|SK.MEL.28|SKMEL-28|SKMEL28|SKMEL28 cell|SKML-28|SKMel-28|SKMel28|SKmel28	SK-MEL-28 cell	RRID:CVCL_0526|CLO:0009043	subclass	immortal human melanocyte cell line cell	An immortal human melanocyte cell line cell originating from the skin of body of subjects with melanoma.	'derives from' some ('melanocyte' and ('part of' some ('skin of body' and ('part of' some ('Homo sapiens' and ('has disease' some 'melanoma'))))))	Homo sapiens	melanocyte	skin of body	melanoma	'derives from' some ('melanocyte' and ('part of' some ('skin of body' and ('part of' some ('Homo sapiens' and ('has disease' some 'melanoma'))))))
ICF:0000220	SK-MEL-5 cell	SK-Mel-5| SK MEL 5| SK.MEL.5| SK-MEL5| SKMel-5| SKMEL-5| SKMEL5| SKMel5| SKmel5| AA-Mel|SK-MEL-5	SK-MEL-5 cell	RRID:CVCL_0527|CLO:0009047	subclass	immortal human melanocyte cell line cell	An immortal human melanocyte cell line cell originating from the lymph node of subjects with melanoma.	'derives from' some ('melanocyte' and ('part of' some ('lymph node' and ('part of' some ('Homo sapiens' and ('has disease' some 'melanoma'))))))	Homo sapiens	melanocyte	lymph node	melanoma	'derives from' some ('melanocyte' and ('part of' some ('lymph node' and ('part of' some ('Homo sapiens' and ('has disease' some 'melanoma'))))))
ICF:0000221	UACC-257 cell	UACC 257| UACC.257| UACC257| University of Arizona Cell Culture-257|UACC-257	UACC-257 cell	RRID:CVCL_1779|CLO:0037135	subclass	immortal human melanocyte cell line cell	An immortal human melanocyte cell line cell originating from the skin of body of subjects with melanoma.	'derives from' some ('melanocyte' and ('part of' some ('skin of body' and ('part of' some ('Homo sapiens' and ('has disease' some 'melanoma'))))))	Homo sapiens	melanocyte	skin of body	melanoma	'derives from' some ('melanocyte' and ('part of' some ('skin of body' and ('part of' some ('Homo sapiens' and ('has disease' some 'melanoma'))))))
ICF:0000222	WM278 cell	WM-278| WM 278| WC00054|WM278	WM278 cell	RRID:CVCL_6473|CLO:0009616	subclass	immortal human melanocyte cell line cell	An immortal human melanocyte cell line cell originating from the skin of body of subjects with melanoma.	'derives from' some ('melanocyte' and ('part of' some ('skin of body' and ('part of' some ('Homo sapiens' and ('has disease' some 'melanoma'))))))	Homo sapiens	melanocyte	skin of body	melanoma	'derives from' some ('melanocyte' and ('part of' some ('skin of body' and ('part of' some ('Homo sapiens' and ('has disease' some 'melanoma'))))))
ICF:0000223	WM793B cell	WM-793| WM 793| WML 793| WM793B| WM-793B| WM 793B| WM793b| WC00062|WM793B	WM793 cell	RRID:CVCL_8787|CLO:0009619	subclass	immortal human melanocyte cell line cell	An immortal human melanocyte cell line cell originating from the skin of body of subjects with melanoma.	'derives from' some ('melanocyte' and ('part of' some ('skin of body' and ('part of' some ('Homo sapiens' and ('has disease' some 'melanoma'))))))	Homo sapiens	melanocyte	skin of body	melanoma	'derives from' some ('melanocyte' and ('part of' some ('skin of body' and ('part of' some ('Homo sapiens' and ('has disease' some 'melanoma'))))))
